Enrichment,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
High,3.401189853,3.671471118,3.602771169,3.730773306,3.649756614,3.721435035,3.77467103,3.671471118,3.660749566,3.791058744,3.77467103,3.715529816,3.779187494,3.726808683,3.758987547,3.715529816,3.82592353,3.739915004,3.791058744,3.739915004,3.234938888,3.262951809,3.172829878,3.739915004,3.473713993,3.35981441,3.505888254,3.379990017,3.169249792,3.521268876,3.18465989,2.910209238,2.409181423,2.584708053,2.450420191
High,3.671471118,3.782942179,3.757640609,3.692151413,3.721435035,3.649756614,3.806850501,3.438964045,3.35981441,3.739915004,3.829511041,3.703950203,3.715529816,3.941892226,3.948624845,3.935053589,3.667234973,3.71189155,3.829511041,3.851047607,3.563863265,3.490099005,3.577223634,3.563863265,3.766239293,3.649756614,3.822088132,3.856990556,3.764250875,3.680929479,3.270523565,3.37837771,2.612666146,2.409181423,2.554825536
High,3.799026396,3.563863265,3.638478164,3.77467103,3.884726153,3.8974988,4.003120508,3.921969556,3.927877713,3.681934349,3.681934349,3.986965706,3.788945727,3.928105543,3.79848951,3.550758154,3.414583422,3.438964045,3.401189853,3.401189853,3.401189853,3.172829878,3.314077992,3.337547997,3.490099005,3.602771169,3.473713993,3.307472266,3.412161768,3.169249792,3.022061607,2.958457699,2.638932754,2.730513113,2.554825536
High,3.535842445,3.721435035,3.814536141,3.535842445,3.836809208,3.884726153,3.972454843,3.961732135,3.857995496,3.972454843,3.791058744,3.82592353,3.533729703,3.73780203,3.748523958,3.703950203,3.758987547,3.730773306,3.692151413,3.791058744,3.62689899,3.490099005,3.577223634,3.35981441,3.615002615,3.438964045,3.671471118,3.442113783,3.427395937,3.079141032,3.170880763,3.041348815,2.730513113,2.687132436,2.709364199
High,3.766239293,3.730773306,3.692151413,3.638478164,3.289266803,3.739915004,3.843986756,3.972454843,3.671471118,3.972454843,3.806850501,3.968218244,3.436851457,3.640911874,3.414583422,3.36629841,3.567144045,3.62689899,3.550078805,3.473713993,3.337547997,3.13809208,3.289266803,3.380994677,3.438964045,3.380994677,3.314077992,3.243836967,3.044409087,2.206825876,3.411788005,2.638932754,2.149219113,2.27338714,2.375968275
High,3.204993724,3.671471118,3.660749566,3.730773306,3.730773306,3.681934349,3.535842445,3.799026396,3.71189155,3.950737967,3.730773306,3.961784831,3.703950203,3.859998425,3.640911874,3.788945727,3.834696157,3.822088132,3.638478164,3.602771169,3.314077992,3.314077992,3.401189853,3.638478164,3.59018523,3.721435035,3.660749566,3.533164564,3.470132699,3.655127759,3.521268876,3.450231996,2.450420191,2.638932754,2.409181423
High,3.77467103,3.843986756,3.822088132,3.851047607,3.59018523,3.8974988,3.822088132,4.05426824,3.822088132,3.977718526,3.988058283,4.027797943,3.899145381,3.758987547,3.654272827,3.436851457,3.726808683,3.660749566,3.59018523,3.638478164,3.100332246,3.204993724,3.314077992,3.262951809,3.420487512,3.45668649,3.71189155,3.427395937,3.618152733,3.618152733,3.535420718,2.976146109,1.974665181,2.106077519,2.138828797
High,3.730773306,3.791058744,3.8974988,3.577223634,3.692151413,3.739915004,3.757640609,3.87156645,3.998157584,3.791058744,3.806850501,3.843295083,3.58293411,3.899145381,3.31196566,3.135980262,3.31196566,3.380994677,3.401189853,3.420487512,3.13809208,3.505888254,3.172829878,3.401189853,3.35981441,3.563863265,3.262951809,3.663899761,3.266100976,3.598413541,3.396373728,3.001877877,2.488080446,2.584708053,2.409181423
High,3.748868233,3.730773306,3.822088132,3.671471118,3.59018523,3.550078805,3.615002615,3.721435035,3.77467103,3.814536141,3.851047607,3.654272827,3.769204953,3.921044528,3.533729703,3.478229703,3.33998115,3.204993724,3.438964045,3.380994677,3.660749566,3.420487512,3.59018523,3.401189853,3.535842445,3.337547997,3.45668649,3.544743089,3.45634916,3.608395274,3.401572846,2.910209238,0,2.78840408,2.045322979
High,3.739915004,3.77467103,3.681934349,3.638478164,3.660749566,3.681934349,3.521123549,3.857995496,3.8974988,3.822088132,3.933706573,3.941892226,3.715529816,3.726808683,3.391111614,3.391111614,3.478229703,3.314077992,3.262951809,3.314077992,3.234938888,3.380994677,3.100332246,3.420487512,3.13809208,3.262951809,3.314077992,3.141240676,3.287279068,3.646174918,3.680929479,3.342181339,1.424155392,2.976146109,2.899394873
High,3.71189155,3.748868233,3.638478164,3.660749566,3.505888254,3.782942179,3.77467103,3.89115943,3.878196144,3.998157584,3.878196144,4.070198002,3.769204953,3.703950203,3.726808683,3.67982143,3.627126792,3.671471118,3.730773306,3.702133629,3.314077992,3.35981441,3.314077992,3.473713993,3.638478164,3.234938888,3.35981441,3.266100976,3.556020922,3.483492203,3.243836967,3.167612673,0,2.913166047,2.952038646
High,3.791058744,3.62689899,3.766239293,3.671471118,3.739915004,3.692151413,3.730773306,3.814536141,3.903746963,3.972454843,3.864833979,3.968218244,3.859998425,3.891593204,3.79848951,3.758987547,3.692053365,3.59018523,3.649756614,3.638478164,3.505888254,3.505888254,3.45668649,3.721435035,3.681934349,3.438964045,3.289266803,3.655127759,3.771089132,3.362963919,3.720793049,3.307472266,0,2.899394873,2.638932754
High,3.692151413,3.671471118,3.843986756,3.721435035,3.62689899,3.671471118,3.730773306,3.822088132,3.62689899,3.857995496,3.99313729,3.913866812,3.974557745,3.859998425,3.868115205,3.788945727,3.82592353,3.77467103,3.757640609,3.660749566,3.234938888,3.35981441,3.204993724,3.314077992,3.380994677,3.314077992,3.655127759,3.470132699,3.567013289,3.509038156,3.470132699,3.413467413,2.522733956,2.750679782,2.687132436
High,3.702133629,3.721435035,3.961732135,3.602771169,3.692151413,3.702133629,3.730773306,3.799026396,3.829511041,3.799026396,3.945134721,4.016518005,3.935053589,3.779187494,3.640911874,3.788945727,3.715529816,3.782942179,3.702133629,3.671471118,3.438964045,3.314077992,3.35981441,3.59018523,3.100332246,3.337547997,3.169249792,3.521268876,3.533164564,3.498448403,3.260309946,3.376759395,2.138828797,2.317366792,2.178976947
High,3.649756614,3.602771169,3.739915004,3.71189155,3.799026396,3.615002615,3.836809208,3.814536141,3.748868233,3.933706573,3.956269839,3.921044528,3.533729703,3.834696157,3.67982143,3.627126792,3.79848951,3.903746963,3.939458236,3.814536141,3.535842445,3.721435035,3.550078805,3.950737967,3.851047607,3.87156645,3.637033625,3.646174918,3.797413743,3.714413592,3.526468512,3.518206754,2.554825536,2.823111804,2.870468934
High,3.766239293,3.748868233,3.757640609,3.535842445,3.822088132,3.71189155,3.806850501,3.748868233,3.89115943,3.799026396,3.988058283,4.010766234,3.67982143,3.986965706,3.816970038,3.73780203,3.654272827,3.799026396,3.766239293,3.671471118,3.550078805,3.401189853,3.438964045,3.521123549,3.62689899,3.438964045,3.743065313,3.655127759,3.509038156,3.478710756,3.247673273,3.322885162,2.295933439,2.443523747,2.411058239
High,3.77467103,3.702133629,3.799026396,3.757640609,3.649756614,3.77467103,3.577223634,3.766239293,3.857995496,4.003120508,3.806850501,3.999028991,3.868115205,3.834696157,3.913866812,3.891593204,3.941892226,3.51600623,3.59018523,3.62689899,3.172829878,3.234938888,3.262951809,3.204993724,3.13809208,3.100332246,3.345242998,3.483492203,3.427395937,3.507990725,3.167612673,3.19801525,2.450420191,2.750679782,2.663700925
High,3.829511041,3.739915004,3.791058744,3.681934349,3.660749566,3.702133629,3.730773306,3.99313729,3.915979914,3.806850501,4.003120508,4.027797943,3.948624845,3.859998425,3.550758154,3.667234973,3.67982143,3.391111614,3.234938888,3.550078805,3.204993724,3.05897403,3.13809208,3.262951809,3.289266803,3.13809208,3.379990017,3.169249792,3.45634916,3.223553624,3.022061607,3.156650091,2.450420191,2.409181423,2.687132436
High,3.806850501,3.59018523,3.766239293,3.649756614,3.721435035,3.62689899,3.692151413,3.77467103,3.782942179,3.730773306,3.730773306,3.58293411,3.816970038,3.834696157,3.769204953,3.726808683,3.816970038,3.533729703,3.615002615,3.62689899,3.35981441,3.204993724,3.262951809,3.172829878,3.35981441,3.172829878,3.266100976,3.141240676,3.169249792,3.146438135,3.20709554,2.793867958,2.488080446,2.36361198,2.450420191
High,3.681934349,3.757640609,3.782942179,3.550078805,3.71189155,3.766239293,3.822088132,3.836809208,3.933706573,3.822088132,3.782942179,3.941892226,4.010766234,3.993039232,3.692053365,3.807828067,3.807828067,3.33998115,3.35981441,3.438964045,3.420487512,3.473713993,3.505888254,3.420487512,3.602771169,3.45668649,3.307472266,3.345242998,3.169249792,3.167612673,3.094548764,2.793867958,2.554825536,2.018423083,1.974665181
High,3.822088132,3.721435035,3.829511041,3.757640609,3.857995496,3.836809208,3.851047607,3.851047607,4.012879387,3.799026396,3.998157584,3.891593204,3.726808683,3.51600623,3.33998115,3.36629841,3.282017562,3.090258053,3.249850329,3.234938888,3.204993724,3.35981441,3.13809208,3.13809208,3.204993724,3.05897403,3.412161768,3.496452984,3.470132699,3.276691529,3.336659823,3.425044875,2.663700925,2.78840408,2.638932754
High,3.843986756,3.829511041,3.806850501,3.884726153,3.799026396,3.799026396,3.87156645,3.806850501,3.950737967,3.99313729,3.988058283,4.010766234,3.921044528,3.859998425,3.640911874,3.436851457,3.654272827,3.436851457,3.49752858,3.521123549,3.262951809,3.100332246,3.234938888,3.289266803,3.204993724,3.13809208,3.326768119,3.195561429,3.396373728,3.360656515,3.223553624,3.141937275,3.020683477,3.079944611,2.998985462
High,3.59018523,3.649756614,3.829511041,3.671471118,3.851047607,3.535842445,3.660749566,3.671471118,3.945134721,3.927877713,3.956269839,3.79848951,3.758987547,3.598170164,3.598170164,3.51600623,3.550758154,3.49752858,3.414583422,3.660749566,3.521123549,3.45668649,3.35981441,3.380994677,3.420487512,3.35981441,3.396373728,3.521268876,3.345242998,3.4363217,3.488691698,3.389343311,2.823111804,2.663700925,2.750679782
High,3.77467103,3.671471118,3.730773306,3.739915004,3.748868233,3.615002615,3.814536141,3.535842445,3.438964045,3.535842445,3.721435035,3.748523958,3.627126792,3.715529816,3.788945727,3.478229703,3.533729703,3.414583422,3.039149628,3.550078805,3.473713993,3.438964045,3.535842445,3.100332246,3.380994677,3.438964045,3.470132699,3.567013289,3.577734283,3.544743089,3.45634916,3.598413541,3.240244081,3.271040921,3.227286673
Low,3.307472266,3.266100976,3.307472266,3.220369632,3.006656168,2.991669007,3.350441857,3.146438135,3.187802639,3.637589786,3.601081728,3.655127759,3.764250875,3.567013289,3.689200297,3.680929479,3.771089132,3.469150836,3.361287024,3.301729129,3.307709923,3.243286146,3.124178055,2.959518377,3.075911761,2.845718018,3.021602716,3.167612673,2.924795996,2.887054378,2.935003151,2.793867958,2.730513113,2.806104569,2.584708053
Low,3.45634916,3.379990017,3.345242998,3.637033625,3.45634916,3.260309946,3.498448403,3.4363217,3.677698181,3.623352682,3.702516697,3.588196983,3.899388789,3.556020922,3.672498087,3.697316542,3.663899761,3.69953904,3.724357804,3.639364728,3.336659823,3.292477594,3.488691698,3.146438135,3.225567713,3.401572846,3.322426052,3.401572846,3.100715087,3.225567713,2.980710198,3.094548764,2.78840408,2.638932754,2.730513113
Low,3.195561429,3.345242998,3.728344762,3.362963919,3.396373728,3.167612673,3.413467413,3.413467413,3.488691698,3.260309946,3.458033192,3.588196983,3.728344762,3.521268876,3.45634916,3.326768119,3.608395274,3.714599829,3.752381407,3.68393714,3.322426052,3.401572846,3.146438135,3.336659823,3.225567713,3.458033192,3.260309946,3.601081728,3.498448403,3.363799945,3.141937275,3.259248684,2.952038646,2.926513935,2.96425963
Low,3.608395274,3.521268876,3.689200297,3.577734283,3.598413541,3.651374944,3.769451179,3.883970409,3.873378736,3.839959631,3.803752918,3.834130936,3.496452984,3.496452984,3.427395937,3.243836967,3.287279068,3.092603695,3.132081722,3.261632886,3.075911761,3.167612673,3.20709554,3.075911761,3.049605613,3.124178055,3.049605613,2.793867958,2.959518377,2.845718018,2.910209238,2.958457699,2.806104569,2.885172683,2.750679782
Low,3.141240676,3.345242998,3.006656168,3.141240676,3.287279068,3.447313109,3.124178055,3.363799945,3.425044875,3.731669332,3.616055195,3.470132699,3.646174918,3.655127759,3.757303221,3.680929479,3.544743089,3.458033192,3.517327882,3.677698181,2.924795996,2.991669007,3.100715087,3.167612673,3.322426052,3.413467413,3.488691698,3.225567713,3.276691529,3.376759395,3.167612673,3.19801525,2.36361198,2.488080446,2.409181423
Low,3.608395274,3.287279068,3.044409087,3.345242998,3.079141032,3.021602716,3.049605613,2.991669007,3.124178055,3.322426052,3.146438135,3.45634916,3.287279068,3.442113783,3.379990017,3.608395274,3.764250875,3.764250875,3.55278985,3.651374944,3.389343311,3.425044875,3.20709554,3.526468512,3.577606677,3.769451179,3.637589786,3.737272177,3.894309908,3.7846886,3.684037037,3.708505881,3.342181339,3.419753875,3.292231451
Low,3.169249792,3.195561429,3.141240676,3.111299861,3.044409087,3.049605613,3.075911761,3.146438135,3.4363217,3.276691529,3.376759395,3.379990017,3.266100976,3.287279068,3.326768119,3.412161768,3.577734283,3.401572846,3.413467413,3.488691698,3.336659823,3.243286146,3.167612673,3.100715087,3.146438135,3.425044875,3.307709923,3.243286146,3.526468512,3.167612673,3.350441857,2.958457699,2.806104569,2.870468934,2.663700925
Low,3.220369632,3.345242998,3.243836967,3.396373728,3.220369632,3.260309946,2.991669007,3.049605613,3.100715087,3.167612673,3.124178055,3.195561429,3.287279068,3.427395937,3.220369632,3.567013289,3.544743089,3.458033192,3.517327882,3.601081728,3.425044875,3.075911761,3.526468512,3.307709923,3.307709923,3.742803658,3.758987547,3.55278985,3.601081728,3.702516697,3.442810634,3.312905743,3.435260244,3.126708495,2.96425963
Low,3.287279068,3.567013289,3.396373728,3.427395937,3.362963919,3.458033192,3.488691698,3.677698181,3.664735969,3.894309908,3.878706861,3.867984431,3.764250875,3.86252228,3.784450864,3.697316542,3.655127759,3.569490954,3.789651209,3.742803658,3.322426052,3.350441857,3.260309946,3.526468512,3.507990725,3.517327882,3.651374944,3.7846886,3.702516697,3.616055195,3.535420718,3.55278985,3.126708495,3.247673273,3.031139051
Low,3.141240676,3.195561429,3.220369632,3.307472266,3.141240676,3.498448403,3.336659823,3.336659823,3.507990725,3.737272177,3.585573519,3.784450864,3.588196983,3.627695777,3.483492203,3.533164564,3.470132699,3.363799945,3.389343311,3.488691698,3.100715087,3.225567713,3.146438135,3.075911761,3.124178055,3.292477594,3.146438135,3.021602716,3.20709554,3.322426052,3.141937275,3.23578087,2.584708053,1.942834494,2.106077519
Low,3.169249792,3.243836967,3.287279068,3.169249792,3.111299861,3.292477594,3.307709923,3.389343311,3.468495025,3.517327882,3.55278985,3.544743089,3.345242998,3.442113783,3.220369632,3.396373728,3.442113783,3.100715087,3.167612673,3.225567713,2.887054378,2.924795996,2.991669007,3.167612673,2.959518377,2.959518377,2.991669007,3.146438135,3.100715087,3.225567713,3.075911761,3.187802639,2.823111804,2.939463784,2.687132436
Low,3.266100976,3.442113783,3.470132699,3.266100976,3.287279068,3.146438135,3.276691529,3.535420718,3.413467413,3.658106836,3.561220679,3.412161768,3.427395937,3.567013289,3.266100976,3.427395937,3.533164564,3.363799945,3.478710756,3.307709923,3.292477594,3.20709554,3.124178055,3.124178055,2.887054378,3.049605613,3.167612673,3.100715087,3.322426052,3.276691529,3.363799945,3.094548764,2.76995141,2.638932754,2.106077519
Low,3.470132699,3.483492203,3.509038156,3.362963919,3.141240676,3.376759395,3.225567713,3.561220679,3.187802639,3.146438135,3.146438135,3.044409087,3.169249792,2.919601024,3.266100976,3.111299861,3.006656168,3.021602716,3.146438135,2.887054378,3.146438135,2.924795996,3.146438135,2.924795996,2.845718018,2.991669007,3.100715087,3.167612673,3.376759395,3.141937275,3.059815768,3.170880763,2.913166047,2.663700925,2.730513113
Low,3.266100976,3.287279068,3.483492203,3.379990017,3.307472266,3.585573519,3.389343311,3.702516697,3.608632989,3.4363217,3.720242018,3.637033625,3.627695777,3.509038156,3.567013289,3.220369632,3.287279068,3.322426052,3.498448403,2.959518377,3.307709923,3.350441857,3.100715087,3.260309946,3.100715087,2.959518377,3.401572846,3.225567713,3.260309946,3.18465989,2.839478047,2.76995141,2.032081268,2.106077519,1.925999266
Low,3.396373728,3.362963919,3.705283886,3.556020922,3.509038156,3.593396842,3.585573519,3.569490954,3.601081728,3.630529571,3.526468512,3.379990017,3.362963919,3.326768119,3.220369632,3.266100976,3.195561429,2.924795996,3.292477594,2.991669007,3.225567713,3.225567713,3.167612673,2.887054378,3.049605613,2.887054378,3.225567713,3.322426052,3.124178055,3.259248684,3.270523565,3.001877877,2.409181423,1.974665181,2.070653451
Low,3.243836967,3.243836967,3.345242998,3.195561429,3.544743089,3.292477594,3.292477594,3.601081728,3.637589786,3.677698181,3.748265573,3.728344762,3.483492203,3.627695777,3.345242998,3.307472266,3.169249792,3.075911761,2.924795996,3.100715087,3.049605613,2.959518377,2.887054378,2.991669007,3.021602716,2.887054378,3.307709923,3.187802639,3.4363217,3.302691608,3.342181339,3.170880763,2.687132436,2.78840408,2.638932754
Low,3.287279068,3.195561429,3.412161768,3.326768119,3.266100976,3.389343311,3.478710756,3.577606677,3.488691698,3.561220679,3.714413592,3.618152733,3.627695777,3.544743089,3.141240676,3.345242998,3.266100976,3.362963919,3.092603695,3.20709554,2.991669007,2.845718018,3.100715087,2.887054378,2.845718018,3.021602716,3.20709554,3.075911761,3.187802639,3.059815768,3.110926242,2.680133985,2.488080446,2.36361198,2.450420191
Low,3.044409087,3.427395937,3.345242998,3.044409087,3.111299861,3.225567713,3.376759395,3.100715087,3.714413592,3.714413592,3.677698181,3.663899761,3.608395274,3.556020922,3.379990017,3.496452984,3.470132699,3.521268876,3.288770722,3.468495025,3.146438135,3.049605613,3.021602716,3.049605613,2.959518377,2.845718018,3.225567713,3.124178055,2.924795996,3.223553624,3.001877877,2.793867958,2.554825536,2.913166047,2.409181423
Low,3.169249792,3.287279068,3.362963919,3.195561429,3.079141032,3.389343311,3.187802639,3.260309946,3.322426052,3.4363217,3.363799945,3.427395937,3.577734283,3.544743089,3.412161768,3.598413541,3.533164564,3.637033625,3.562543982,3.507990725,3.292477594,3.225567713,2.924795996,3.307709923,3.243286146,2.991669007,2.959518377,3.243286146,3.363799945,3.126708495,2.980710198,2.721444199,2.687132436,2.78840408,2.409181423
Low,3.141240676,3.220369632,3.169249792,3.079141032,2.96530625,3.276691529,3.20709554,3.124178055,3.187802639,3.292477594,3.276691529,3.266100976,3.362963919,3.307472266,3.195561429,3.169249792,3.044409087,3.044409087,2.884543636,3.167612673,3.124178055,3.124178055,3.225567713,3.100715087,3.021602716,3.049605613,2.845718018,3.100715087,2.800029359,2.721444199,2.759164023,2.826002774,2.584708053,2.36361198,2.450420191
Low,3.006656168,3.412161768,3.483492203,3.220369632,3.287279068,3.425044875,3.389343311,3.389343311,3.593396842,3.601081728,3.769451179,3.735767404,3.720793049,3.713107695,3.521268876,3.544743089,3.588196983,3.521268876,3.345242998,3.425044875,3.401572846,3.517327882,3.544192111,3.569490954,3.488691698,3.187802639,3.322426052,3.100715087,2.887054378,2.959518377,2.800029359,3.001877877,3.041348815,2.952038646,2.96425963
Low,3.396373728,3.243836967,3.195561429,3.362963919,3.326768119,3.468495025,3.447313109,3.517327882,3.526468512,3.468495025,3.517327882,3.588196983,3.627695777,3.567013289,3.567013289,3.556020922,3.521268876,3.427395937,3.307472266,3.413467413,3.684037037,3.779668627,3.526468512,3.322426052,3.425044875,3.307709923,3.075911761,3.498448403,3.468495025,2.959518377,3.389343311,3.094548764,2.709364199,2.976146109,2.687132436
Low,3.379990017,3.521268876,3.470132699,3.141240676,3.362963919,3.488691698,3.677698181,3.544192111,3.764250875,3.671265433,3.720242018,3.839959631,3.856990556,3.750242611,3.777821383,3.598413541,3.705283886,3.307472266,3.362963919,3.458033192,3.225567713,3.468495025,3.425044875,3.260309946,3.146438135,2.991669007,3.292477594,3.336659823,3.146438135,3.141937275,3.292231451,3.094548764,2.987715907,3.051324062,3.089080464
Low,3.396373728,3.326768119,3.266100976,3.266100976,3.396373728,3.389343311,3.225567713,3.124178055,3.753659647,3.658106836,3.758987547,3.803752918,3.705283886,3.627695777,3.556020922,3.442113783,3.427395937,3.195561429,3.326768119,3.517327882,3.322426052,3.389343311,3.498448403,3.124178055,3.336659823,3.124178055,2.991669007,3.526468512,3.425044875,3.488691698,3.276691529,2.663700925,2.409181423,2.522733956,1.73506635