ALE2,ALE3,ALE4,ALE5,AHE1,AHE2,AHE3,AHE4,AHE5,BLE2,BLE3,BLE4,BLE5,BHE1,BHE2,BHE3,BHE4,BHE5,CLE1,CLE2,CLE3,CLE4,CLE5,CHE1,CHE2,CHE3,CHE4,CHE5,DLE1,DLE2,DLE3,DLE4,DLE5,DHE1,DHE2,DHE3,DHE4,DHE5,ELE1,ELE2,ELE3,ELE4,ELE5,EHE2,EHE3,EHE4,EHE5,FLE1,FLE2,FLE3,FLE4,FLE5,FHE1,FHE2,FHE3,FHE4,FHE5
824.4444444,1236.666667,2951.111111,1291.111111,3.333333333,476.6666667,4426.666667,4921.111111,4348.888889,3.333333333,2490,1567.777778,1383.333333,0,1373.333333,4348.888889,3891.111111,5264.444444,0,0,980,2028.888889,4518.888889,0,1106.666667,5035.555556,3090,3433.333333,0,3.333333333,460,1073.333333,1236.666667,0,10,5072.222222,3965.555556,4463.333333,0,2120,2296.666667,3596.666667,1413.333333,0,4334.444444,3781.111111,3776.666667,1825.555556,3.333333333,2120,1413.333333,1118.888889,0,0,3873.333333,4703.333333,4234.444444
0,0,2800,910,0,0,1098.888889,2870,3220,10,0,408.8888889,1911.111111,0,0,0,3780,3640,0,0,40,1610,2380,0,0,741.1111111,1680,3227.777778,0,0,0,10,1481.111111,0,0,2818.888889,2866.666667,4480,0,0,0,1815.555556,715.5555556,0,0,2771.111111,5880,0,0,0,920,1624.444444,0,0,715.5555556,3.333333333,2380
0,0,562.2222222,0,0,0,0,1303.333333,3010,6.666666667,0,0,1003.333333,3.333333333,0,0,3.333333333,3201.111111,0,0,0,10,2054.444444,0,0,0,0,1576.666667,0,0,0,0,30,3.333333333,0,10,13.33333333,1481.111111,0,0,0,0,0,0,0,0,2341.111111,0,0,0,0,520,0,0,0,0,0
0,0,0,0,0,10,0,0,1003.333333,0,0,0,0,0,0,0,0,1277.777778,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,6.666666667,0,6.666666667,6.666666667,0,0,0,0,0,0,43.33333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33333333,6.666666667,0,33.33333333,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,56.66666667,0,0,0,3.333333333,0,0,0,0,0,0,6.666666667,0,0,0,26.66666667,0,0,0,0,0,0,0,0,23.33333333,6.666666667,0,0,0,0,0,0,3.333333333,53.33333333,126.6666667,106.6666667,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0
0,36.66666667,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,230,0,0,0,0,10,0,0,0,3.333333333,23.33333333,0,0,0,0,0,0,93.33333333,741.1111111,63.33333333,170,0,0,23.33333333,0,53.33333333,186.6666667,23.33333333,0,0,0,0,0,231.1111111,0,0,0,0,0,0
0,0,3.333333333,0,0,0,0,0,0,715.5555556,0,0,0,0,0,0,0,0,0,0,0,0,96.66666667,136.6666667,0,0,0,0,116.6666667,0,0,0,0,0,0,0,0,3.333333333,0,0,10,0,0,5600,0,0,43.33333333,0,0,0,0,0,3.333333333,0,10,83.33333333,0
0,0,3.333333333,0,16.66666667,0,0,0,0,860,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,283.3333333,0,0,0,0,13.33333333,0,40,0,0,0,0,0,0,3.333333333,0,0,0,0,0,4270,0,0,3.333333333,0,0,70,0,0,5880,0,0,332.2222222,163.3333333
0,0,0,0,83.33333333,3.333333333,0,0,0,1624.444444,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,3873.333333,0,0,3.333333333,0,0,0,73.33333333,0,0,0,6.666666667,0,0,0,0,0,0,0,0,812.2222222,0,0,0,0,0,460,281.1111111,0,7438.888889,0,6.666666667,0,60
0,0,0,86.66666667,0,70,6.666666667,0,383.3333333,281.1111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,10,0,0,587.7777778,0,0,2580,113.3333333,20,3.333333333,0
0,10,0,176.6666667,0,150,3.333333333,0,383.3333333,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,40,3.333333333,0,281.1111111,0,0,860,0,0,1400,860,23.33333333,0,0
0,3.333333333,0,0,0,0,0,0,485.5555556,0,0,0,6.666666667,0,0,0,0,6824.444444,0,0,0,0,0,6.666666667,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,511.1111111,0,0,70,13.33333333,0,173.3333333,0,0,460,0,0,2870,13.33333333,196.6666667,0,36.66666667
0,0,43.33333333,0,3.333333333,0,0,0,76.66666667,33.33333333,0,0,16.66666667,2746.666667,0,0,0,3010,0,0,0,0,13.33333333,1576.666667,0,0,3.333333333,0,0,0,0,0,0,0,6.666666667,0,0,0,0,0,136.6666667,0,0,613.3333333,0,0,0,0,0,716.6666667,0,0,3080,0,143.3333333,6.666666667,0
0,0,0,0,153.3333333,0,0,0,3.333333333,3.333333333,0,0,26.66666667,1716.666667,0,3.333333333,0,630,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,613.3333333,0,0,0,0,0,716.6666667,0,0,2150,0,73.33333333,10,0
0,6.666666667,0,0,715.5555556,0,690,0,13.33333333,0,0,0,20,46.66666667,0,0,0,0,0,0,0,0,0,1328.888889,0,0,120,0,56.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.777778,33.33333333,0,23.33333333,0,0,587.7777778,0,0,1993.333333,0,296.6666667,0,3.333333333
0,3.333333333,0,6.666666667,638.8888889,0,332.2222222,0,26.66666667,0,0,0,13.33333333,0,0,0,0,0,0,0,0,0,0,971.1111111,0,0,6.666666667,0,286.6666667,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,812.2222222,20,0,0,0,0,113.3333333,0,0,2172.222222,0,116.6666667,3.333333333,0
0,83.33333333,0,10,817.7777778,0,613.3333333,0,60,0,0,0,13.33333333,3.333333333,0,0,0,3.333333333,0,0,0,0,3.333333333,1576.666667,0,0,3.333333333,0,332.2222222,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,1242.222222,33.33333333,0,0,0,0,1146.666667,0,0,1863.333333,0,70,0,3.333333333
0,306.6666667,3.333333333,6.666666667,573.3333333,0,716.6666667,0,764.4444444,0,0,0,0,0,0,0,0,100,0,0,0,0,20,80,0,0,80,0,3.333333333,0,6.666666667,0,0,0,30,0,0,3.333333333,0,0,0,0,0,1385.555556,0,0,0,0,0,511.1111111,0,0,1815.555556,0,6.666666667,0,0
0,286.6666667,6.666666667,3.333333333,434.4444444,0,573.3333333,0,716.6666667,3.333333333,0,0,0,0,0,0,0,66.66666667,0,0,0,0,0,477.7777778,0,0,13.33333333,0,3.333333333,0,3.333333333,0,0,0,0,0,0,0,0,0,13.33333333,0,0,1098.888889,0,0,0,0,0,281.1111111,0,0,357.7777778,0,3.333333333,3.333333333,6.666666667
0,173.3333333,0,6.666666667,812.2222222,0,525.5555556,0,812.2222222,0,0,0,0,0,0,0,0,113.3333333,0,0,0,0,3.333333333,812.2222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,741.1111111,0,0,0,0,0,766.6666667,0,0,971.1111111,0,0,0,0
0,13.33333333,0,0,2150,0,1003.333333,0,0,10,0,0,6.666666667,56.66666667,0,0,0,263.3333333,0,0,0,0,0,1576.666667,0,0,46.66666667,0,33.33333333,0,13.33333333,0,0,0,190,0,0,223.3333333,0,0,166.6666667,0,0,1003.333333,0,0,226.6666667,0,0,434.4444444,0,0,945.5555556,0,20,0,6.666666667
0,6.666666667,0,0,1098.888889,0,1098.888889,0,0,6.666666667,0,0,16.66666667,126.6666667,0,0,0,408.8888889,0,0,0,0,10,1051.111111,0,0,33.33333333,0,63.33333333,0,23.33333333,0,0,0,196.6666667,0,0,200,0,0,170,0,0,1767.777778,0,0,306.6666667,0,0,485.5555556,0,0,562.2222222,0,16.66666667,0,0
0,6.666666667,0,0,1456.666667,0,613.3333333,0,0,3.333333333,0,0,13.33333333,156.6666667,3.333333333,0,0,276.6666667,0,0,0,0,0,1958.888889,0,0,3.333333333,0,10,0,0,0,0,0,106.6666667,0,0,306.6666667,0,0,236.6666667,0,0,715.5555556,113.3333333,0,485.5555556,0,0,281.1111111,0,0,280,0,70,3.333333333,0
0,30,33.33333333,0,1686.666667,0,1047.777778,0,80,56.66666667,0,0,1003.333333,573.3333333,0,0,0,812.2222222,0,0,0,0,0,1150,0,0,13.33333333,0,3.333333333,0,0,0,0,0,0,0,0,1194.444444,332.2222222,0,383.3333333,0,0,894.4444444,357.7777778,0,332.2222222,0,0,153.3333333,36.66666667,10,236.6666667,0,460,0,20
0,173.3333333,273.3333333,0,1277.777778,0,741.1111111,0,166.6666667,0,0,0,1330,668.8888889,0,0,0,1003.333333,0,0,0,0,40,764.4444444,0,0,26.66666667,0,0,0,3.333333333,0,0,0,0,0,0,6.666666667,332.2222222,0,226.6666667,0,0,153.3333333,223.3333333,0,140,0,0,113.3333333,276.6666667,93.33333333,283.3333333,0,40,3.333333333,0
0,236.6666667,6.666666667,0,1175.555556,0,843.3333333,0,103.3333333,0,0,0,860,1481.111111,0,0,0,764.4444444,0,0,0,0,16.66666667,536.6666667,0,0,13.33333333,0,3.333333333,0,20,0,0,0,6.666666667,0,0,0,792.2222222,0,383.3333333,0,0,136.6666667,460,0,223.3333333,0,0,281.1111111,357.7777778,113.3333333,408.8888889,0,3.333333333,0,3.333333333
0,86.66666667,0,0,996.6666667,6.666666667,587.7777778,0,3.333333333,0,0,13.33333333,971.1111111,153.3333333,0,6.666666667,0,113.3333333,0,3.333333333,0,0,0,536.6666667,0,0,0,0,0,0,0,0,0,0,40,0,0,16.66666667,434.4444444,0,843.3333333,0,0,2248.888889,843.3333333,0,357.7777778,0,116.6666667,562.2222222,240,1328.888889,690,0,0,0,3.333333333
0,0,0,0,766.6666667,0,485.5555556,0,0,3.333333333,0,0,0,1252.222222,0,0,0,792.2222222,0,0,0,0,6.666666667,408.8888889,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,226.6666667,0,160,0,0,120,536.6666667,0,223.3333333,0,0,133.3333333,163.3333333,143.3333333,206.6666667,0,0,0,0
0,0,0,0,281.1111111,0,332.2222222,0,26.66666667,6.666666667,0,0,3.333333333,894.4444444,0,0,0,792.2222222,0,0,0,0,0,741.1111111,0,0,76.66666667,0,0,0,0,0,0,0,13.33333333,0,0,0,116.6666667,0,80,0,0,113.3333333,283.3333333,0,70,0,0,306.6666667,357.7777778,226.6666667,383.3333333,0,0,3.333333333,0
0,3.333333333,0,0,146.6666667,10,80,3.333333333,3.333333333,10,0,0,6.666666667,1150,0,0,0,817.7777778,3.333333333,0,0,0,0,511.1111111,0,0,40,0,40,0,0,0,0,0,0,0,0,13.33333333,306.6666667,0,1098.888889,0,0,53.33333333,306.6666667,0,100,3.333333333,0,140,203.3333333,260,357.7777778,0,3.333333333,0,0
0,357.7777778,173.3333333,0,73.33333333,0,30,0,120,0,0,0,193.3333333,186.6666667,0,0,0,26.66666667,0,0,0,0,3.333333333,383.3333333,0,0,93.33333333,0,26.66666667,0,3.333333333,0,0,0,0,0,0,16.66666667,332.2222222,0,562.2222222,0,0,126.6666667,216.6666667,0,130,0,0,233.3333333,176.6666667,240,434.4444444,0,6.666666667,0,0
0,434.4444444,236.6666667,0,106.6666667,0,6.666666667,0,156.6666667,0,0,0,103.3333333,210,0,0,0,60,0,0,0,0,6.666666667,383.3333333,0,0,66.66666667,0,63.33333333,0,0,0,0,0,0,0,0,0,63.33333333,0,146.6666667,0,0,170,243.3333333,0,153.3333333,0,0,246.6666667,133.3333333,203.3333333,332.2222222,0,0,3.333333333,0